Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
wandb,9217,https://github.com/wandb/wandb,Y,N,"execute:wandb/vendor/graphql-core-1.1/wandb_graphql/execution/executor.py,execute:wandb/vendor/graphql-core-1.1/wandb_graphql/execution/experimental/executor.py,is_valid_literal_value:wandb/vendor/graphql-core-1.1/wandb_graphql/utils/is_valid_literal_value.py,_collect_conflicts_between_fields_and_fragment:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/rules/overlapping_fields_can_be_merged.py,_collect_conflicts_between_fragments:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/rules/overlapping_fields_can_be_merged.py,_collect_conflicts_within:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/rules/overlapping_fields_can_be_merged.py,_get_fields_and_fragments_names:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/rules/overlapping_fields_can_be_merged.py,get_fragment:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/validation.py,__init__:wandb/vendor/graphql-core-1.1/wandb_graphql/language/ast.py,get_named_type:wandb/vendor/graphql-core-1.1/wandb_graphql/type/definition.py,wandb_log:wandb/integration/metaflow/metaflow.py,decorator:wandb/integration/metaflow/metaflow.py,_find_conflicts_between_sub_selection_sets:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/rules/overlapping_fields_can_be_merged.py,_collect_conflicts_between:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/rules/overlapping_fields_can_be_merged.py,_find_conflict:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/rules/overlapping_fields_can_be_merged.py,_get_referenced_fields_and_fragment_names:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/rules/overlapping_fields_can_be_merged.py,_collect_fields_and_fragment_names:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/rules/overlapping_fields_can_be_merged.py,_same_arguments:wandb/vendor/graphql-core-1.1/wandb_graphql/validation/rules/overlapping_fields_can_be_merged.py,get_variable_values:wandb/vendor/graphql-core-1.1/wandb_graphql/execution/values.py",,N,N,,import_pytorch_lightning,,,,
text-generation-inference,9192,https://github.com/huggingface/text-generation-inference,Y,Y,"setdeepattr:backends/gaudi/server/text_generation_server/layers/gptq/quantize.py,setdeepattr:server/text_generation_server/layers/gptq/quantize.py",,Attr,Attr,Local,import_aiohttp,,Todo,quantize->load_weights_pre_hook,
stable-diffusion-webui-forge,8736,https://github.com/lllyasviel/stable-diffusion-webui-forge,Y,Y,"set_parameter_devices:backend/patcher/lora.py,set_attr:packages_3rdparty/comfyui_lora_collection/utils.py,forge_patch_model:backend/patcher/base.py,forge_unpatch_model:backend/patcher/base.py,set_attr_raw:backend/utils.py",,Attr,Attr,Function,.get/.post/.api_route|import_starlette|import_fastapi|import_gradio,,Todo,set_attr_raw,
hummingbot,8472,https://github.com/hummingbot/hummingbot,Y,Y,"keys:hummingbot/client/config/config_helpers.py,__init__:hummingbot/client/config/config_helpers.py,traverse:hummingbot/client/config/config_helpers.py,genexpr:hummingbot/client/config/config_helpers.py",,Attr,Attr,Local,import_aiohttp,,Todo,"decrypt_all_secure_data, prompt_a_config; cli config",
conan,8316,https://github.com/conan-io/conan,Y,Y,,,Attr,Attr,Function,import_bottle,,,,
accelerate,8025,https://github.com/huggingface/accelerate,Y,Y,retie_parameters:src/accelerate/utils/modeling.py,,Attr,Attr,Function,,,Todo,library: load_checkpoint_in_model -> retie_parameters,
ragas,7467,https://github.com/explodinggradients/ragas,Y,N,update_strings:ragas/src/ragas/prompt/utils.py,type check,Attr,Attr,,,,,,
modelscope,7070,https://github.com/modelscope/modelscope,Y,Y,_setattr:modelscope/trainers/hooks/compression/utils.py,,Attr,Attr,Function,import_starlette|.get/.post/.api_route|import_fastapi|import_gradio,,,convert_sparse_network -> _setattr,
ScoutSuite,6779,https://github.com/nccgroup/ScoutSuite,Y,N,,,N,N,,import_cherrypy,,,,
ScoutSuite,6779,https://github.com/nccgroup/ScoutSuite,Y,N,,duplicated,Attr/Field,Field,Function,,,,,
ipex-llm,6770,https://github.com/intel-analytics/ipex-llm,Y,Y,set_op_by_name:python/llm/src/ipex_llm/transformers/awq/awq.py,,Attr,Attr,Local,import_aiohttp|.get/.post/.api_route|import_fastapi|import_starlette|import_gradio,,,"TODO: PoC, load from model weights",
pyinstrument,6758,https://github.com/joerick/pyinstrument,Y,Y,set_value_at_keypath:pyinstrument/vendor/keypath.py,,Attr/Field,Attr/Field,Function,import_litestar|import_django|import_flask|.route|@get/post/route|import_falcon|django_path,,,,
sphinx,6645,https://github.com/sphinx-doc/sphinx,Y,N,,,Attr,Field,,,,,,
metaseq,6518,https://github.com/facebookresearch/metaseq,Y,Y,_set_module_by_path:metaseq/trainer.py,,Attr,Attr,Function,import_flask|.route,,Todo,library: trainer.__init__ -> _set_module_by_path,
pytext,6336,https://github.com/facebookresearch/pytext,Y,Y,"find_param:pytext/config/utils.py,replace_param:pytext/config/utils.py",,Attr,Attr,Local,import_flask|.route,,Todo,library: replace_param,
tensorpack,6302,https://github.com/tensorpack/tensorpack,Y,Y,update_args:examples/FasterRCNN/config.py,also has RCE vul,Attr,Attr,Local,,,Todo,library: update_args; where set value gets evalutated before assigned to target obj,
progressive_growing_of_gans,6102,https://github.com/tkarras/progressive_growing_of_gans,Y,Y,create_session:tfutil.py,,Attr,Attr,Local,,,,,
wfuzz,5977,https://github.com/xmendez/wfuzz,Y,N/A,"rsetattr:src/wfuzz/helpers/obj_dyn.py,__compute_expr:src/wfuzz/filters/ppfilter.py",,Attr,Attr,,,,,,Yes
mmpose,5925,https://github.com/open-mmlab/mmpose,Y,Y,"rsetattr:mmpose/utils/hooks.py,__init__:mmpose/engine/hooks/mode_switch_hooks.py",,Attr,Attr,Local,import_gradio,,,,Yes
chainer,5897,https://github.com/chainer/chainer,Y,N,"_get_initializer:chainer/initializers/__init__.py,_iter_init:tests/chainer_tests/links_tests/caffe_tests/test_caffe_function.py,create_mnbn_model:chainermn/links/create_mnbn_model.py,register_persistent:chainer/link.py,add_link:chainer/link.py,add_link:chainermn/links/multi_node_chain_list.py,setUp:tests/chainer_tests/links_tests/caffe_tests/test_caffe_function.py,__init__:chainer/variable.py,_init_impl:chainer/variable.py,_set_chainerx_array:chainer/variable.py",test script,Attr,Attr,,,,,,
clearml,5726,https://github.com/allegroai/clearml,Y,Y,"_step:clearml/automation/scheduler.py,_step:clearml/automation/trigger.py,_deserialize_state:clearml/automation/scheduler.py,_deserialize_state:clearml/automation/trigger.py,_deserialize:clearml/automation/trigger.py,_get_data_property:clearml/backend_interface/task/access.py,__init__:clearml/automation/job.py,update:clearml/automation/scheduler.py,start_remotely:clearml/automation/scheduler.py,_launch_job:clearml/automation/scheduler.py,_launch_job:clearml/automation/trigger.py,_launch_job_task:clearml/automation/scheduler.py,__deserialize_scheduled_jobs:clearml/automation/scheduler.py,current_task:clearml/task.py,init:clearml/task.py,__deserialize_section:clearml/automation/trigger.py,__deserialize_triggers:clearml/automation/trigger.py",,Attr/Field,Attr/Field,Function,import_pytorch_lightning|.get/.post/.api_route|import_fastapi|import_starlette|import_gradio,,,,
clearml,5726,https://github.com/allegroai/clearml,Y,N,,"key needs to be ""{}/{}""",Attr/Field,Field,,,,,,
clearml,5726,https://github.com/allegroai/clearml,Y,N,,"key needs to be ""{}/{}""",Attr,Field,,,,,,
litestar,5663,https://github.com/litestar-org/litestar,Y,N,"_deref_schema_object:litestar/_openapi/typescript_converter/converter.py,resolve_ref:litestar/_openapi/typescript_converter/converter.py,parse_request_body:litestar/_openapi/typescript_converter/converter.py,parse_responses:litestar/_openapi/typescript_converter/converter.py,convert_openapi_to_typescript:litestar/_openapi/typescript_converter/converter.py",sanitization after recursive get,Attr/Field,Field,,,,,,
mesop,5659,https://github.com/google/mesop,Y,Y,"_recursive_update_dataclass_from_json_obj:mesop/dataclass_utils/dataclass_utils.py,generate_data:mesop/server/server.py,ws_generate_data:mesop/server/server.py",,Attr,Attr/Field,Remote,import_flask|.route|import_mesop,,Assigned,,
deepchem,5574,https://github.com/deepchem/deepchem,Y,Y,"symeig:deepchem/utils/differentiation_utils/symeig.py,getparamnames:deepchem/utils/dft_utils/grid/lebedev_grid.py,getparamnames:deepchem/utils/dft_utils/grid/multiatoms_grid.py,getparamnames:deepchem/utils/dft_utils/grid/radial_grid.py,getparamnames:deepchem/utils/dft_utils/hamilton/orbconverter.py,getparamnames:deepchem/utils/dft_utils/system/mol.py,getparamnames:deepchem/utils/dft_utils/xc/base_xc.py,getparamnames:deepchem/utils/differentiation_utils/linop.py,getparamnames:deepchem/utils/test/test_differentiation_utils.py,__init__:deepchem/utils/dft_utils/data/datastruct.py,cached_getparamnames:deepchem/utils/differentiation_utils/editable_module.py,_getparamnames:deepchem/utils/differentiation_utils/grad.py,_getparamnames:deepchem/utils/differentiation_utils/linop.py,_getparamnames:deepchem/utils/test/test_dft_utils.py,_getparamnames:deepchem/utils/test/test_differentiation_utils.py,_setup_idxs:deepchem/utils/differentiation_utils/grad.py,getlinopparams:deepchem/utils/differentiation_utils/linop.py,uselinopparams:deepchem/utils/differentiation_utils/linop.py,solve:deepchem/utils/differentiation_utils/solve.py,backward:deepchem/utils/differentiation_utils/solve.py,backward:deepchem/utils/differentiation_utils/symeig.py",,Attr/Field,Attr/Field,Function,import_flask|.route|import_pytorch_lightning,,Todo,Library: set_attr,
infinigen,5430,https://github.com/princeton-vl/infinigen,Y,Y,"_make_node:infinigen/core/nodes/node_wrangler.py,hex_to_rgb:infinigen/assets/materials/bark_random.py,sample_params:infinigen/assets/objects/organizer/basket.py,sample_params:infinigen/assets/objects/organizer/hook.py,sample_params:infinigen/assets/objects/organizer/plate_rack.py,sample_params:infinigen/assets/objects/shelves/large_shelf.py,sample_params:infinigen/assets/objects/shelves/simple_bookcase.py,sample_params:infinigen/assets/objects/shelves/simple_desk.py,sample_params:infinigen/assets/objects/shelves/triangle_shelf.py,add_bevel:infinigen/core/util/bevelling.py,deep_clone_obj:infinigen/core/util/blender.py,iter_object_tree:infinigen/core/util/blender.py,put_in_collection:infinigen/core/util/blender.py,modify_mesh:infinigen/core/util/blender.py,selection:infinigen/assets/objects/creatures/parts/crustacean/body.py,selection:infinigen/core/placement/density.py,get_material_func:infinigen/assets/objects/shelves/cabinet.py,get_material_func:infinigen/assets/objects/shelves/doors.py,get_material_func:infinigen/assets/objects/shelves/drawers.py,get_material_func:infinigen/assets/objects/shelves/large_shelf.py,get_material_func:infinigen/assets/objects/shelves/simple_desk.py,get_material_func:infinigen/assets/objects/shelves/triangle_shelf.py,get_cabinet_params:infinigen/assets/objects/shelves/cabinet.py,get_cabinet_params:infinigen/assets/objects/shelves/kitchen_cabinet.py,get_cabinet_params:infinigen/assets/objects/shelves/single_cabinet.py,_execute_geonodes:infinigen/assets/objects/tables/cocktail_table.py,geo_extension:infinigen/assets/utils/decorate.py,scatter_res_distance:infinigen/core/placement/detail.py,target_face_size:infinigen/core/placement/detail.py,sample_parameters:infinigen/assets/objects/tables/dining_table.py,render:infinigen/core/execute_tasks.py,execute_tasks:infinigen/core/execute_tasks.py,main:infinigen/core/execute_tasks.py,asset_parameters:infinigen/core/placement/factory.py,spawn_placeholder:infinigen/core/placement/factory.py,apply:infinigen/assets/objects/tableware/fruit_container.py,__init__:infinigen/assets/objects/trees/generate.py,__init__:infinigen/core/nodes/node_wrangler.py,geo_transfer_hair_attributes:infinigen/assets/objects/creatures/util/hair.py,create_asset:infinigen/assets/objects/shelves/kitchen_cabinet.py,update_translation_params:infinigen/assets/objects/shelves/large_shelf.py,update_params:infinigen/assets/objects/tropic_plants/leaf_palm_plant.py,update_params:infinigen/assets/objects/tropic_plants/leaf_palm_tree.py,treeify:infinigen/assets/utils/mesh.py,facing_mask:infinigen/core/nodes/node_utils.py,genexpr:infinigen/assets/objects/bathroom/toilet.py,genexpr:infinigen/core/nodes/node_wrangler.py,join_objects:infinigen/assets/utils/object.py,particle_system:infinigen/core/placement/particles.py,scatter_placeholders:infinigen/core/placement/placement.py,filter_populate_targets:infinigen/core/placement/placement.py,get_place_points:infinigen/assets/objects/organizer/plate_rack.py,configure_compositor_output:infinigen/core/rendering/render.py,get_asset_params:infinigen/assets/objects/shelves/simple_desk.py,split_inview:infinigen/core/placement/split_in_view.py,transfer_att_node:infinigen/core/nodes/nodegroups/transfer_attributes.py",,Attr,Attr,Function,,,,,
rqalpha,5413,https://github.com/ricequant/rqalpha,Y,N/A,"_update_dict_recursive:rqalpha/utils/__init__.py,set_env:rqalpha/mod/__init__.py,__init__:rqalpha/environment.py",,Attr,Field,,,,,,Yes
Flashlight,5387,https://github.com/nate-parrott/Flashlight,Y,N,"visit:PluginDirectories/1/calendar.bundle/jinja2/visitor.py,generic_visit:PluginDirectories/1/calendar.bundle/jinja2/visitor.py,__html__:PluginDirectories/1/calendar.bundle/markupsafe/__init__.py,lambda:PluginDirectories/1/calendar.bundle/jinja2/_compat.py,escape:PluginDirectories/1/calendar.bundle/markupsafe/_native.py,_generate:PluginDirectories/1/calendar.bundle/jinja2/environment.py,assert_error:PluginDirectories/1/calendar.bundle/jinja2/testsuite/lexnparse.py,iter_fields:PluginDirectories/1/calendar.bundle/jinja2/nodes.py,iter_child_nodes:PluginDirectories/1/calendar.bundle/jinja2/nodes.py",,Attr,Attr,,,,,,
ibis,5365,https://github.com/ibis-project/ibis,Y,Y,set:ibis/config.py,,Attr,Attr,,import_streamlit,,Todo,library: Config.set,
river,5109,https://github.com/online-ml/river,Y,Y,_mutate:river/base/base.py,,Attr,Attr,,,,,,
captum,4962,https://github.com/pytorch/captum,Y,Y,_model_reinsert_params:captum/influence/_utils/common.py,,Attr,Attr,,import_flask|.route,,Todo,library: class NaiveInfluenceFunction.__init__ -> _retrieve_projections_naive_influence_function -> _compute_dataset_func -> _flatten_forward_factory -> _functional_call -> _custom_functional_call ->   _model_reinsert_params,
lark,4940,https://github.com/lark-parser/lark,Y,N,"scanWord:docs/ide/app/core.py,__init__:docs/ide/app/core.py,insertBefore:docs/ide/app/core.py,interpret:docs/ide/app/core.py",attr name check,Attr,Attr/Field,,,,,,Yes
mergekit,4904,https://github.com/arcee-ai/mergekit,Y,N/A,"get_architecture_info:mergekit/architecture/__init__.py,_update_config_vocab:mergekit/merge.py,set_config_value:mergekit/common.py,referenced_models:mergekit/config.py",,Attr,Attr,,,,,,Yes
Red-DiscordBot,4846,https://github.com/Cog-Creators/Red-DiscordBot,Y,Y,rsetattr:redbot/cogs/audio/core/utilities/miscellaneous.py,,Attr,Attr,Function,import_aiohttp|add_route,,,rsetattr,Yes
panel,4837,https://github.com/holoviz/panel,Y,N,"link_to_jslink:panel/io/embed.py,select:panel/chat/feed.py,select:panel/chat/message.py,select:panel/custom.py,select:panel/layout/accordion.py,select:panel/layout/base.py,select:panel/layout/card.py,select:panel/layout/flex.py,select:panel/layout/float.py,select:panel/layout/swipe.py,select:panel/pane/base.py,select:panel/param.py,select:panel/viewable.py,select:panel/widgets/base.py,_get_model:panel/chat/input.py,_get_model:panel/custom.py,_get_model:panel/layout/base.py,_get_model:panel/layout/feed.py,_get_model:panel/layout/grid.py,_get_model:panel/layout/modal.py,_get_model:panel/layout/spacer.py,_get_model:panel/pane/base.py,_get_model:panel/pane/deckgl.py,_get_model:panel/pane/echarts.py,_get_model:panel/pane/equation.py,_get_model:panel/pane/holoviews.py,_get_model:panel/pane/ipywidget.py,_get_model:panel/pane/markup.py,_get_model:panel/pane/perspective.py,_get_model:panel/pane/plot.py,_get_model:panel/pane/plotly.py,_get_model:panel/pane/vega.py,_get_model:panel/pane/vizzu.py,_get_model:panel/pane/vtk/vtk.py,_get_model:panel/reactive.py,_get_model:panel/widgets/base.py,_get_model:panel/widgets/button.py,_get_model:panel/widgets/codeeditor.py,_get_model:panel/widgets/indicators.py,_get_model:panel/widgets/input.py,_get_model:panel/widgets/misc.py,_get_model:panel/widgets/select.py,_get_model:panel/widgets/tables.py,_get_model:panel/widgets/terminal.py,_get_model:panel/widgets/texteditor.py,get_root:panel/io/notifications.py,get_root:panel/layout/base.py,get_root:panel/pane/base.py,get_root:panel/param.py,get_root:panel/viewable.py,panel:panel/pane/base.py,_get_root_model:panel/pane/base.py,_get_properties:panel/chat/input.py,_get_properties:panel/custom.py,_get_properties:panel/pane/echarts.py,_get_properties:panel/pane/perspective.py,_get_properties:panel/pane/vega.py,_get_properties:panel/pane/vizzu.py,_get_properties:panel/reactive.py,_get_properties:panel/widgets/tables.py,_update_renderers:panel/widgets/indicators.py,_update_figure:panel/widgets/indicators.py,_init_callback:panel/links.py,_get_specs:panel/links.py,__init__:panel/param.py,__panel__:panel/pipeline.py,__panel__:panel/tests/test_viewable.py,_process_param_change:panel/widgets/player.py,_process_param_change:panel/widgets/select.py,_render_model:panel/viewable.py,_repr_mimebundle_:panel/viewable.py,_create_view:panel/viewable.py",deep get is not observed,Attr,Attr,None,import_aiohttp|.get/.post/.api_route|import_fastapi|import_tornado|import_django|import_flask|django_path,,,,
gluonts,4663,https://github.com/awslabs/gluonts,Y,N,update_configs:src/gluonts/nursery/daf/__main__.py,type check,Attr,Attr,,import_flask|.route|import_pytorch_lightning,,,,
AutoGPTQ,4541,https://github.com/AutoGPTQ/AutoGPTQ,Y,Y,recurse_setattr:auto_gptq/utils/modeling_utils.py,,Attr,Attr,Function,,,,,
ms-swift,4503,https://github.com/modelscope/ms-swift,Y,Y,,duplicate @redacted,Attr/Field,Attr/Field,,import_aiohttp|import_fastapi|import_gradio,,,,No
coremltools,4462,https://github.com/apple/coremltools,Y,N,"_ParseOrMerge:deps/protobuf/python/google/protobuf/text_format.py,do_test:deps/protobuf/conformance/conformance_python.py,_AssertProtoEqual:deps/protobuf/python/google/protobuf/internal/descriptor_test.py,_InternalTestCopyToProto:deps/protobuf/python/google/protobuf/internal/descriptor_test.py,genexpr:deps/protobuf/python/google/protobuf/json_format.py,genexpr:deps/protobuf/python/google/protobuf/text_format.py,_ConvertMapFieldValue:deps/protobuf/python/google/protobuf/json_format.py,_GetSerializedFileDescriptor:deps/protobuf/python/google/protobuf/internal/reflection_test.py,_MergeMessage:deps/protobuf/python/google/protobuf/internal/well_known_types.py",MergeMessage in google protobuf implementation; the key to get and set was checked before operating,Attr/Field,Attr,,,,,,
coremltools,4462,https://github.com/apple/coremltools,Y,N,,MergeMessage in google protobuf implementation; the key to get and set was checked before operating,Attr,Attr,,,,,,
coremltools,4462,https://github.com/apple/coremltools,Y,N,,MergeMessage in google protobuf implementation; the key to get and set was checked before operating,Attr/Field,Attr,,,,,,
coremltools,4462,https://github.com/apple/coremltools,Y,N,,MergeMessage in google protobuf implementation; the key to get and set was checked before operating,Attr,Attr,,,,,,
neuralangelo,4413,https://github.com/NVlabs/neuralangelo,Y,N/A,rsetattr:imaginaire/config.py,,Attr,Attr,,,,,,Yes
OpenPrompt,4388,https://github.com/thunlp/OpenPrompt,Y,N/A,,,Attr,Attr,,,,,,
datasets,4324,https://github.com/tensorflow/datasets,Y,N/A,,,Attr,Attr,,,,,,
zenml,4181,https://github.com/zenml-io/zenml,Y,N,create:tests/integration/functional/zen_stores/utils.py,,N,N,,.get/.post/.api_route|import_starlette|import_fastapi|import_gradio,,,,
azure-cli-core,4071,https://github.com/Azure/azure-cli,Y,Y,,,Attr/Field,Attr/Field,Local,,,,,
imaginaire,4021,https://github.com/NVlabs/imaginaire,Y,N/A,rsetattr:imaginaire/config.py,,Attr,Attr,,,,,,Yes
mm-cot,3823,https://github.com/amazon-science/mm-cot,Y,Y,set_layer:timm/models/helpers.py,,Attr,Attr,Function,,,,,
DAMO-YOLO,3794,https://github.com/tinyvision/DAMO-YOLO,Y,N/A,set_module:tools/partial_quantization/utils.py,,Attr,Attr,,,,,,
ElegantRL,3769,https://github.com/AI4Finance-Foundation/ElegantRL,Y,N/A,rsetattr:rlsolver/methods/util.py,,Attr,Attr,,,,,,Yes
PINTO_model_zoo,3624,https://github.com/PINTO0309/PINTO_model_zoo,Y,Y,"set_module:450_YOLOv9-Wholebody-with-Wheelchair/yolov9/models/quantize.py,set_module:454_YOLOv9-Wholebody13/yolov9/models/quantize.py,set_module:455_YOLOv9-Gender/yolov9/models/quantize.py,set_module:456_YOLOv9-Wholebody15/yolov9/models/quantize.py,set_module:457_YOLOv9-Wholebody17/yolov9/models/quantize.py,set_module:458_YOLOv9-Discrete-HeadPose-Yaw/yolov9/models/quantize.py,set_module:459_YOLOv9-Wholebody25/yolov9/models/quantize.py,set_module:461_YOLOv9-Phone/yolov9/models/quantize.py,set_module:463_YOLOv9-Shoulder-Elbow-Knee/yolov9/models/quantize.py,set_module:464_YOLOv9-Wholebody28/yolov9/models/quantize.py,set_module:468_YOLOv9-Wholebody28-Refine/yolov9/models/quantize.py",,Attr,Attr,Function,,,,,
consensus-specs,3590,https://github.com/ethereum/consensus-specs,Y,N/A,"_set_operations_by_dict:tests/core/pyspec/eth2spec/test/helpers/fork_transition.py,deposit_from_context:tests/core/pyspec/eth2spec/test/helpers/deposits.py,prepare_signed_exits:tests/core/pyspec/eth2spec/test/helpers/voluntary_exits.py",,Attr,Attr,,,,,,
Otter,3565,https://github.com/Luodian/Otter,Y,Y,"setattr_recursive:src/otter_ai/models/flamingo/modeling_flamingo.py,setattr_recursive:src/otter_ai/models/otter/modeling_otter.py,_set_decoder_layers:src/otter_ai/models/flamingo/modeling_flamingo.py,_set_decoder_layers:src/otter_ai/models/otter/modeling_otter.py,init_flamingo:src/otter_ai/models/flamingo/modeling_flamingo.py,init_otter:src/otter_ai/models/otter/modeling_otter.py",,Attr,Attr,Function,.get/.post/.api_route|import_fastapi|import_flask|.route|import_gradio,,,,
ai-toolkit,3550,https://github.com/ostris/ai-toolkit,Y,Y,replace_module_by_path:toolkit/lorm.py,,Attr,Attr,Local,import_gradio,,Todo,"PureLoraGenerator.__init__(model_config) -> PureLoraGenerator.run() -> StableDiffusion.load_model -> load unet model from: model_config.name_or_path (https://github.com/ostris/ai-toolkit/blob/c12036df95c1c03dc0ed60823668287c329b9963/toolkit/stable_diffusion_model.py#L296, https://github.com/ostris/ai-toolkit/blob/c12036df95c1c03dc0ed60823668287c329b9963/toolkit/stable_diffusion_model.py#L985) -> unet module contains polluted key as its structure
PureLoraGenerator.run (self.sd.unet got from stable_diffusion init and load_model())-> convert_diffusers_unet_to_lorm  (unet) -> replace_module_by_path (unet as pollution key)
Remote trigger:
    summary: attacker have to control the module.name_or_path configuration which points to a malicious model contraining the chained path dict key, then trigger the vulnerable function `replace_module_by_path` through flux_train_ui gradio UI, the button at here:https://github.com/ostris/ai-toolkit/blob/main/jobs/ExtensionJob.py#L22

    gradio_uri training function: https://github.com/ostris/ai-toolkit/blob/main/flux_train_ui.py#L143
    have to control local configuration config['process'][0]['module']['name_or_path'] points to the malicious unet model: https://github.com/ostris/ai-toolkit/blob/main/flux_train_ui.py#L212
   then the run here will start PureLoraGeneration.run: https://github.com/ostris/ai-toolkit/blob/main/flux_train_ui.py#L230
   program gets the class through dynamic extention loading process: https://github.com/ostris/ai-toolkit/blob/main/flux_train_ui.py#L229
   The extension of PureLoraGeneration is included in the extension list: https://github.com/ostris/ai-toolkit/blob/c12036df95c1c03dc0ed60823668287c329b9963/extensions_built_in/advanced_generator/__init__.py#L58
    which is loaded in a  dynamic way here: https://github.com/ostris/ai-toolkit/blob/main/toolkit/extension.py#L41, https://github.com/ostris/ai-toolkit/blob/main/jobs/ExtensionJob.py#L13, and run here: https://github.com/ostris/ai-toolkit/blob/main/jobs/ExtensionJob.py#L22",
chartify,3541,https://github.com/spotify/chartify,Y,N/A,"_apply_bokeh_setting:chartify/_core/style.py,_font_value:chartify/_core/style.py,_settings_from_yaml:chartify/_core/style.py",lib,Attr,Attr,,,,,,
KoboldAI-Client,3535,https://github.com/KoboldAI/KoboldAI-Client,Y,N,,,N,N,,,,,,
Paints-UNDO,3535,https://github.com/lllyasviel/Paints-UNDO,Y,N/A,set_attr_recursive:diffusers_helper/utils.py,model,Attr,Attr,,import_gradio,,,,
mmpretrain,3495,https://github.com/open-mmlab/mmpretrain,Y,N/A,"_set_decoder_layers:mmpretrain/models/multimodal/flamingo/adapter.py,setattr_recursive:mmpretrain/models/multimodal/flamingo/utils.py",lib,Attr,Attr,,import_gradio,,,,
headphones,3431,https://github.com/rembo10/headphones,Y,N/A,"iter_fields:lib/mako/_ast_util.py,parse:lib/mako/_ast_util.py,__init__:lib/mako/ast.py,__init__:lib/mako/codegen.py,__init__:lib/mako/lookup.py,__init__:lib/mako/parsetree.py,compile:lib/mako/codegen.py,write_toplevel:lib/mako/codegen.py,_parse_attributes:lib/mako/parsetree.py,undeclared_identifiers:lib/mako/parsetree.py,_compile:lib/mako/template.py,_compile_module_file:lib/mako/template.py","lib meko, ast traverse",Attr,Attr,None,import_tornado|import_flask|import_cherrypy|.route|django_path,,,,
vispy,3344,https://github.com/vispy/vispy,Y,N/A,nested_setattr:vispy/scene/cameras/base_camera.py,lib,Attr,Attr,,,,,,
django-import-export,3100,https://github.com/django-import-export/django-import-export,Y,N,"__init__:import_export/fields.py,save:import_export/fields.py",require database table name and relation,Attr,Attr,Function,import_django,,,Class Field -> def save,
alpa,3083,https://github.com/alpa-projects/alpa,Y,Y,"lambda:alpa/torch/nn/utils.py,_get_nested_attr:alpa/torch/nn/__init__.py",,Attr,Attr,,.get/.post/.api_route|.route|import_starlette|import_fastapi,,,,
fastNLP,3073,https://github.com/fastnlp/fastNLP,Y,N/A,"get_from_cache:fastNLP/transformers/torch/file_utils.py,hf_bucket_url:fastNLP/transformers/torch/file_utils.py,from_pretrained:fastNLP/transformers/torch/modeling_utils.py,_load_state_dict_into_model_low_mem:fastNLP/transformers/torch/modeling_utils.py,find_submodule_and_param_name:fastNLP/transformers/torch/modeling_utils.py",lib,Attr,Attr,,,,,,
deepsparse,3041,https://github.com/neuralmagic/deepsparse,Y,N,prep_for_serialization:src/deepsparse/utils/data.py,,N,N,,.get/.post/.api_route|import_fastapi|import_starlette|import_streamlit|import_gradio,,,,
docarray,2993,https://github.com/docarray/docarray,Y,N/A,__getitem__:docarray/data/torch_dataset.py,lib,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,
AI-Writer,2989,https://github.com/BlinkDL/AI-Writer,Y,Y,__init__:_new_/src/model.py,,Attr,Attr,,,,,,
BlenderTools,2829,https://github.com/EpicGamesExt/BlenderTools,Y,Y,set_addon_property:tests/utils/blender.py,,Attr,Attr,,,,,,
dlt,2764,https://github.com/dlt-hub/dlt,Y,N/A,,lib,Attr,Field,,import_streamlit,,,,
mars,2705,https://github.com/mars-project/mars,Y,N/A,"setvalue:mars/config.py,fill_serialized:mars/config.py",lib,Attr,Attr,,import_tornado,,,,
robusta,2648,https://github.com/robusta-dev/robusta,Y,Y,"_set_attr_by_path:tests/test_change_filters.py,update_item_attr:src/robusta/runner/object_updater.py",,Attr/Field,Attr/Field,Function,import_flask|.route,,,,
deepdoctection,2619,https://github.com/deepdoctection/deepdoctection,Y,N/A,"update_args:deepdoctection/utils/metacfg.py,__init__:deepdoctection/extern/d2detect.py,__init__:deepdoctection/extern/tpdetect.py,_set_config:deepdoctection/extern/d2detect.py,_build_ocr_detector:deepdoctection/analyzer/factory.py",lib,Attr,Attr,,,,,,
TensorRT,2610,https://github.com/pytorch/TensorRT,Y,N,,,N,N,,,,,,
optimum,2603,https://github.com/huggingface/optimum,Y,N/A,recurse_setattr:optimum/utils/modeling_utils.py,lib,Attr,Attr,,,,,,
llm-awq,2567,https://github.com/mit-han-lab/llm-awq,Y,N/A,"set_op_by_name:awq/utils/module.py,_auto_get_scale:awq/quantize/auto_scale.py",lib,Attr,Attr,,.get/.post/.api_route|import_fastapi|import_gradio,,,,
