Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason,Types,,Input,,,Status,Comment,Source Sheet,
vega,848,https://github.com/huawei-noah/vega,Y,Y,"change_module:vega/algorithms/nas/opt_nas/ops_nas.py,change_module:vega/model_zoo/model_zoo.py",,Attr,Attr,Function,import_flask|import_flask_restful,,,,Yes,
PPASR,832,https://github.com/yeyupiaoling/PPASR,Y,Y,__init__:ppasr/trainer.py,,Attr,Attr,,import_fastapi|import_starlette|.get/.post/.api_route,,,overwrites,Yes,
iommi,821,https://github.com/iommirocks/iommi,Y,Y,"setattr_path:iommi/declarative/namespace.py,file_write_to_instance:iommi/form.py",,Attr,Attr,,import_flask|django_path|import_django,,,,Yes,
ktransformers,801,https://github.com/kvcache-ai/ktransformers,Y,Y,set_module:ktransformers/util/utils.py,,Attr,Attr,,import_fastapi|.get/.post/.api_route,,,,Yes,
MagicDrive,789,https://github.com/cure-lab/MagicDrive,Y,Y,_set_module:magicdrive/misc/common.py,,Attr,Attr,,import_gradio,,,,Yes,
JSPyBridge,709,https://github.com/extremeheat/JSPyBridge,Y,Y,"Set:src/javascript/pyi.py,Set:src/pythonia/Bridge.py",,Attr/Field,Attr/Field,Function,,,,,,
torchlens,525,https://github.com/johnmarktaylor91/torchlens,Y,Y,"undecorate_pytorch:torchlens/decorate_torch.py,nested_assign:torchlens/helper_funcs.py",duplicated with Github dataset.,Attr/Field,Attr/Field,,,,,,,
riven,442,https://github.com/rivenmedia/riven,Y,Y,_set_nested_attr:src/program/media/item.py,,Attr/Field,Attr/Field,Function,import_fastapi|import_starlette|.get/.post/.api_route,,,,,
tournesol,338,https://github.com/tournesol-app/tournesol,Y,Y,set_attr:solidago/experiments/synthetic.py,,Attr/Field,Attr/Field,Function,django_path|import_streamlit|import_django,,,,,
pokitoki,316,https://github.com/nalgeon/pokitoki,Y,Y,set_value:bot/config.py,,Attr/Field,Attr/Field,Remote,,,,,,Github-Top-100-0522
nebari,285,https://github.com/nebari-dev/nebari,Y,Y,set_nested_attribute:src/_nebari/config.py,,Attr/Field,Attr/Field,Function,import_tornado|import_aiohttp,,,,,
DriveArena,266,https://github.com/PJLab-ADG/DriveArena,Y,Y,recursive_eval(): \DriveArena\WorldDreamer\third_party\bevfusion\mmdet3d\utils\config.py,,Attr/Field,Attr/Field,,import_tornado|.get/.post/.api_route|import_fastapi,,,eval(),Yes,
AgentLab,184,https://github.com/ServiceNow/AgentLab,Y,Y,"_change_value:src/agentlab/experiments/args.py,_set_value:src/agentlab/experiments/args.py",,Attr/Field,Attr/Field,Function,import_gradio,,,,,
netchecks,156,https://github.com/hardbyte/netchecks,Y,Y,"_apply_overrides:operator/netchecks_operator/main.py,edit:operator/netchecks_operator/main.py",,Attr/Field,Attr/Field,Function,,,,,,
Jacinle,135,https://github.com/vacancy/Jacinle,Y,Y,apply:jacinle/cli/argument.py,,Attr,Attr/Field,Function,import_tornado,,,,,
DataLab,132,https://github.com/ExpressAI/DataLab,Y,Y,"__enter__:datalabs/utils/patching.py,__init__:datalabs/utils/patching.py",,Attr,Attr,None,import_aiohttp,,,,Yes,
uavSim,121,https://github.com/theilem/uavSim,Y,Y,setattr_recursive:utils.py,,Attr/Field,Attr/Field,Function,,,,,,
edsnlp,118,https://github.com/aphp/edsnlp,Y,Y,set_deep_attr:edsnlp/utils/collections.py,,Attr/Field,Attr/Field,Function,import_fastapi|import_streamlit|.get/.post/.api_route,,,,,
genielibs,109,https://github.com/CiscoTestAutomation/genielibs,Y,Y,"ops_diff:pkgs/sdk-pkg/src/genie/libs/sdk/libs/utils/common.py,ops_diff:pkgs/sdk-pkg/src/genie/libs/sdk/libs/utils/normalize.py,_modify_value:pkgs/sdk-pkg/src/genie/libs/sdk/libs/utils/common.py,_modify_value:pkgs/sdk-pkg/src/genie/libs/sdk/libs/utils/mapping.py,_set_conf_attribute:pkgs/sdk-pkg/src/genie/libs/sdk/libs/utils/triggeractions.py",,Attr/Field,Attr/Field,Function,django_path,,,,,
passlib,8721413,https://pypi.org/project/passlib,Y,Y,_import_path:passlib/ext/django/utils.py,,Attr,Attr,,import_django,,,,Yes,
magicattr,6353048,https://pypi.org/project/magicattr,Y,Y,set:magicattr.py,,Attr/Field,Attr/Field,Function,,,,Selected.,No,
acryl-datahub,3648263,https://pypi.org/project/acryl-datahub,Y,Y,list_urns_with_path:datahub/utilities/urns/urn_iter.py,,Attr/Field,Attr/Field,Function,import_fastapi|.get/.post/.api_route|import_aiohttp,,,,Yes,
tf-keras,2218507,https://pypi.org/project/tf-keras,Y,Y,_set_object_by_path:tf_keras/src/dtensor/layout_map.py,,Attr/Field,Attr/Field,Function,,,,Selected.,Yes,
flax,1578643,https://pypi.org/project/flax,Y,Y,_traverse_tree:flax/cursor.py,,Attr/Field,Attr/Field,Function,,,,,Yes,
mo-dots,204011,https://pypi.org/project/mo-dots,Y,Y,"_set_default:mo_dots/__init__.py,set_attr:mo_dots/__init__.py",,Attr/Field,Attr/Field,Function,,,,Selected.,No,
smolagents,191273,https://pypi.org/project/smolagents,Y,Y,"set_value:smolagents/local_python_executor.py,evaluate_attribute:smolagents/local_python_executor.py,evaluate_unaryop:smolagents/local_python_executor.py,evaluate_lambda:smolagents/local_python_executor.py,evaluate_while:smolagents/local_python_executor.py,evaluate_function_def:smolagents/local_python_executor.py,evaluate_class_def:smolagents/local_python_executor.py,get_current_value:smolagents/local_python_executor.py,genexpr:smolagents/local_python_executor.py,evaluate_boolop:smolagents/local_python_executor.py,evaluate_binop:smolagents/local_python_executor.py,evaluate_call:smolagents/local_python_executor.py,evaluate_subscript:smolagents/local_python_executor.py,evaluate_name:smolagents/local_python_executor.py,evaluate_condition:smolagents/local_python_executor.py,evaluate_if:smolagents/local_python_executor.py,inner_evaluate:smolagents/local_python_executor.py,evaluate_try:smolagents/local_python_executor.py,evaluate_raise:smolagents/local_python_executor.py,evaluate_assert:smolagents/local_python_executor.py,evaluate_with:smolagents/local_python_executor.py,evaluate_delete:smolagents/local_python_executor.py,evaluate_python_code:smolagents/local_python_executor.py",,Attr/Field,Attr/Field,None,import_gradio,,,,Yes,
pytest-sftpserver,186991,https://pypi.org/project/pytest-sftpserver,Y,Y,put:pytest_sftpserver/sftp/content_provider.py,,Attr/Field,Attr/Field,Remote,,,,TODO: Add PoC,Yes,PIP-Top-60K-0523
stringparser,127304,https://pypi.org/project/stringparser,Y,Y,"_append_to_datastructure:stringparser.py,_set_in_datastructure:stringparser.py",,Attr/Field,Attr/Field,Function,,,,base obj is a dict lol,Yes,
deepdiff6,119680,https://pypi.org/project/deepdiff6,Y,Y,"_do_item_added:deepdiff/delta.py,_do_values_or_type_changed:deepdiff/delta.py,_do_item_removed:deepdiff/delta.py,_simple_set_elem_value:deepdiff/delta.py,_get_elements_and_details:deepdiff/delta.py,_add_to_elements:deepdiff/path.py,_path_to_elements:deepdiff/path.py,_get_nested_obj:deepdiff/path.py",,Attr/Field,Attr/Field,Function,,,,,No,
django-auth-adfs,91467,https://pypi.org/project/django-auth-adfs,Y,Y,update_user_attributes:django_auth_adfs/backend.py,,Attr,Attr,Function,django_re_path|import_django,,,,Yes,
